manhattan 0: tempo: 0.00017469999147579074, nodi: 5, explored_paths: 3, cost: 0
subgoal 0: tempo: 0.00018030000501312315, nodi: 5, explored_paths: 3, cost: 0
relaxed 0: tempo: 0.00011059999815188348, nodi: 5, explored_paths: 3, cost: 0
manhattan 1: tempo: 3.120000474154949e-05, nodi: 1, explored_paths: 0, cost: 0
subgoal 1: tempo: 5.6199991377070546e-05, nodi: 1, explored_paths: 0, cost: 0
relaxed 1: tempo: 5.15999854542315e-05, nodi: 1, explored_paths: 0, cost: 0
manhattan 2: tempo: 9.14999982342124e-05, nodi: 5, explored_paths: 3, cost: 0
subgoal 2: tempo: 0.00012939999578520656, nodi: 5, explored_paths: 3, cost: 0
relaxed 2: tempo: 0.00012660000356845558, nodi: 5, explored_paths: 3, cost: 0
manhattan 3: tempo: 5.649999366141856e-05, nodi: 2, explored_paths: 1, cost: 1
subgoal 3: tempo: 6.479999865405262e-05, nodi: 2, explored_paths: 1, cost: 1
relaxed 3: tempo: 5.6899996707215905e-05, nodi: 2, explored_paths: 1, cost: 1
manhattan 4: tempo: 0.00010629999451339245, nodi: 5, explored_paths: 3, cost: 0
subgoal 4: tempo: 0.00036169998929835856, nodi: 5, explored_paths: 3, cost: 0
relaxed 4: tempo: 0.00011899997480213642, nodi: 5, explored_paths: 3, cost: 0
manhattan 5: tempo: 0.00011289998656138778, nodi: 5, explored_paths: 3, cost: 0
subgoal 5: tempo: 0.00010160001693293452, nodi: 5, explored_paths: 3, cost: 0
relaxed 5: tempo: 0.00010639999527484179, nodi: 5, explored_paths: 3, cost: 0
manhattan 6: tempo: 0.00013800000306218863, nodi: 5, explored_paths: 3, cost: 0
subgoal 6: tempo: 0.00020689997472800314, nodi: 5, explored_paths: 3, cost: 0
relaxed 6: tempo: 0.0001936999906320125, nodi: 5, explored_paths: 3, cost: 0
manhattan 7: tempo: 0.0001260999997612089, nodi: 5, explored_paths: 3, cost: 0
subgoal 7: tempo: 0.00013929998385719955, nodi: 5, explored_paths: 3, cost: 0
relaxed 7: tempo: 0.00010110001312568784, nodi: 5, explored_paths: 3, cost: 0
manhattan 8: tempo: 9.549999958835542e-05, nodi: 4, explored_paths: 2, cost: 2
subgoal 8: tempo: 0.0001233000075444579, nodi: 4, explored_paths: 2, cost: 2
relaxed 8: tempo: 7.520001963712275e-05, nodi: 4, explored_paths: 2, cost: 2
manhattan 9: tempo: 6.479999865405262e-05, nodi: 2, explored_paths: 1, cost: 1
subgoal 9: tempo: 0.00011840002844110131, nodi: 2, explored_paths: 1, cost: 1
relaxed 9: tempo: 0.00011580000864341855, nodi: 2, explored_paths: 1, cost: 1
manhattan 10: tempo: 4.3800013372674584e-05, nodi: 1, explored_paths: 0, cost: 0
subgoal 10: tempo: 4.5599997974932194e-05, nodi: 1, explored_paths: 0, cost: 0
relaxed 10: tempo: 3.239998477511108e-05, nodi: 1, explored_paths: 0, cost: 0
manhattan 11: tempo: 3.789999755099416e-05, nodi: 1, explored_paths: 0, cost: 0
subgoal 11: tempo: 3.850000211969018e-05, nodi: 1, explored_paths: 0, cost: 0
relaxed 11: tempo: 2.8499984182417393e-05, nodi: 1, explored_paths: 0, cost: 0
manhattan 12: tempo: 0.00010960001964122057, nodi: 5, explored_paths: 3, cost: 0
subgoal 12: tempo: 0.0001044000091496855, nodi: 5, explored_paths: 3, cost: 0
relaxed 12: tempo: 0.00015070001245476305, nodi: 5, explored_paths: 3, cost: 0
manhattan 13: tempo: 9.689998114481568e-05, nodi: 5, explored_paths: 3, cost: 0
subgoal 13: tempo: 0.00010159998782910407, nodi: 5, explored_paths: 3, cost: 0
relaxed 13: tempo: 9.839999256655574e-05, nodi: 5, explored_paths: 3, cost: 0
manhattan 14: tempo: 3.6999990697950125e-05, nodi: 1, explored_paths: 0, cost: 0
subgoal 14: tempo: 3.63999861292541e-05, nodi: 1, explored_paths: 0, cost: 0
relaxed 14: tempo: 7.490001735277474e-05, nodi: 1, explored_paths: 0, cost: 0
manhattan 15: tempo: 6.439999560825527e-05, nodi: 1, explored_paths: 0, cost: 0
subgoal 15: tempo: 6.660001236014068e-05, nodi: 1, explored_paths: 0, cost: 0
relaxed 15: tempo: 4.169999738223851e-05, nodi: 1, explored_paths: 0, cost: 0
manhattan 16: tempo: 3.3100019209086895e-05, nodi: 1, explored_paths: 0, cost: 0
subgoal 16: tempo: 4.1799998143687844e-05, nodi: 1, explored_paths: 0, cost: 0
relaxed 16: tempo: 4.019998596049845e-05, nodi: 1, explored_paths: 0, cost: 0
manhattan 17: tempo: 0.00010579999070614576, nodi: 4, explored_paths: 2, cost: 2
subgoal 17: tempo: 9.660000796429813e-05, nodi: 4, explored_paths: 2, cost: 2
relaxed 17: tempo: 9.020001743920147e-05, nodi: 4, explored_paths: 2, cost: 2
