0: tempo: 0.15973758697509766, nodi: 508, explored_paths: 67, cost: 6
1: tempo: 0.024770021438598633, nodi: 160, explored_paths: 18, cost: 4
2: tempo: 0.03086709976196289, nodi: 160, explored_paths: 18, cost: 5
3: tempo: 0.0010058879852294922, nodi: 25, explored_paths: 3, cost: 3
4: tempo: 0.008737564086914062, nodi: 85, explored_paths: 10, cost: 3
5: tempo: 0.09045219421386719, nodi: 301, explored_paths: 34, cost: 5
6: tempo: 3.314018249511719e-05, nodi: 1, explored_paths: 0, cost: 0
7: tempo: 0.0007481575012207031, nodi: 19, explored_paths: 2, cost: 2
8: tempo: 0.10533690452575684, nodi: 334, explored_paths: 38, cost: 5
9: tempo: 0.1290578842163086, nodi: 430, explored_paths: 58, cost: 5
10: tempo: 0.3301875591278076, nodi: 649, explored_paths: 77, cost: 6
11: tempo: 0.7589035034179688, nodi: 1315, explored_paths: 190, cost: 8
12: tempo: 0.0179135799407959, nodi: 130, explored_paths: 16, cost: 4
13: tempo: 0.0034193992614746094, nodi: 49, explored_paths: 5, cost: 4
14: tempo: 0.018050670623779297, nodi: 115, explored_paths: 12, cost: 5
15: tempo: 0.13087892532348633, nodi: 433, explored_paths: 54, cost: 6
16: tempo: 0.0012545585632324219, nodi: 25, explored_paths: 3, cost: 3
17: tempo: 0.024470090866088867, nodi: 175, explored_paths: 23, cost: 5
18: tempo: 0.008268356323242188, nodi: 76, explored_paths: 8, cost: 4
19: tempo: 0.0015556812286376953, nodi: 31, explored_paths: 4, cost: 3
20: tempo: 0.10632658004760742, nodi: 346, explored_paths: 41, cost: 6
21: tempo: 0.03830432891845703, nodi: 199, explored_paths: 23, cost: 4
22: tempo: 0.08848977088928223, nodi: 370, explored_paths: 52, cost: 5
23: tempo: 0.001050710678100586, nodi: 22, explored_paths: 2, cost: 2
24: tempo: 2.5033950805664062e-05, nodi: 1, explored_paths: 0, cost: 0
25: tempo: 0.02205181121826172, nodi: 145, explored_paths: 16, cost: 4
26: tempo: 0.05636906623840332, nodi: 232, explored_paths: 27, cost: 5
27: tempo: 0.029158353805541992, nodi: 166, explored_paths: 19, cost: 4
28: tempo: 0.06304526329040527, nodi: 244, explored_paths: 25, cost: 5
29: tempo: 0.004874706268310547, nodi: 61, explored_paths: 6, cost: 3
30: tempo: 0.007846355438232422, nodi: 85, explored_paths: 10, cost: 4
31: tempo: 0.03039407730102539, nodi: 187, explored_paths: 23, cost: 5
32: tempo: 0.05841398239135742, nodi: 235, explored_paths: 29, cost: 6
33: tempo: 0.11991286277770996, nodi: 403, explored_paths: 49, cost: 7
34: tempo: 0.00348663330078125, nodi: 49, explored_paths: 5, cost: 3
35: tempo: 0.06730532646179199, nodi: 274, explored_paths: 36, cost: 5
36: tempo: 0.14707303047180176, nodi: 415, explored_paths: 50, cost: 5
37: tempo: 0.01302480697631836, nodi: 103, explored_paths: 12, cost: 5
38: tempo: 0.11532902717590332, nodi: 397, explored_paths: 54, cost: 6
39: tempo: 0.007563352584838867, nodi: 76, explored_paths: 9, cost: 5
40: tempo: 0.007302522659301758, nodi: 67, explored_paths: 7, cost: 3
41: tempo: 0.08450460433959961, nodi: 307, explored_paths: 36, cost: 5
42: tempo: 0.013245820999145508, nodi: 88, explored_paths: 9, cost: 4
43: tempo: 0.027072906494140625, nodi: 151, explored_paths: 17, cost: 4
44: tempo: 0.015121221542358398, nodi: 106, explored_paths: 12, cost: 4
45: tempo: 0.005159616470336914, nodi: 67, explored_paths: 8, cost: 3
46: tempo: 0.3047144412994385, nodi: 805, explored_paths: 121, cost: 7
47: tempo: 0.009702920913696289, nodi: 97, explored_paths: 12, cost: 4
48: tempo: 0.01511073112487793, nodi: 109, explored_paths: 11, cost: 4
49: tempo: 0.008885622024536133, nodi: 82, explored_paths: 9, cost: 4
50: tempo: 0.0017132759094238281, nodi: 31, explored_paths: 4, cost: 3
51: tempo: 0.001316070556640625, nodi: 25, explored_paths: 3, cost: 3
52: tempo: 0.11889910697937012, nodi: 406, explored_paths: 50, cost: 6
53: tempo: 0.005147695541381836, nodi: 61, explored_paths: 6, cost: 3
54: tempo: 0.09508776664733887, nodi: 352, explored_paths: 42, cost: 6
55: tempo: 0.02191948890686035, nodi: 136, explored_paths: 15, cost: 4
56: tempo: 0.032416582107543945, nodi: 187, explored_paths: 24, cost: 5
57: tempo: 0.0005707740783691406, nodi: 13, explored_paths: 1, cost: 1
58: tempo: 0.0016949176788330078, nodi: 31, explored_paths: 3, cost: 2
59: tempo: 0.005143165588378906, nodi: 58, explored_paths: 6, cost: 4
60: tempo: 0.009109258651733398, nodi: 85, explored_paths: 9, cost: 4
