0: tempo: 0.3309760093688965, nodi: 652, explored_paths: 81, cost: 6
1: tempo: 0.03325319290161133, nodi: 166, explored_paths: 17, cost: 5
2: tempo: 0.006150960922241211, nodi: 67, explored_paths: 7, cost: 4
3: tempo: 0.08583283424377441, nodi: 298, explored_paths: 35, cost: 6
4: tempo: 0.011219263076782227, nodi: 88, explored_paths: 10, cost: 3
5: tempo: 0.015238285064697266, nodi: 115, explored_paths: 13, cost: 4
6: tempo: 0.023148298263549805, nodi: 142, explored_paths: 17, cost: 4
7: tempo: 0.006203413009643555, nodi: 73, explored_paths: 8, cost: 4
8: tempo: 0.6919913291931152, nodi: 1036, explored_paths: 128, cost: 7
9: tempo: 0.014381885528564453, nodi: 109, explored_paths: 12, cost: 4
10: tempo: 0.05284285545349121, nodi: 253, explored_paths: 32, cost: 5
11: tempo: 0.0036211013793945312, nodi: 49, explored_paths: 5, cost: 3
12: tempo: 0.0012044906616210938, nodi: 25, explored_paths: 3, cost: 3
13: tempo: 0.04342031478881836, nodi: 196, explored_paths: 21, cost: 5
14: tempo: 0.04680323600769043, nodi: 208, explored_paths: 24, cost: 4
15: tempo: 0.08724665641784668, nodi: 301, explored_paths: 36, cost: 6
16: tempo: 0.01155996322631836, nodi: 91, explored_paths: 10, cost: 3
17: tempo: 0.0415499210357666, nodi: 184, explored_paths: 20, cost: 5
18: tempo: 0.06533694267272949, nodi: 244, explored_paths: 25, cost: 5
19: tempo: 0.22082209587097168, nodi: 502, explored_paths: 57, cost: 5
20: tempo: 0.010388374328613281, nodi: 88, explored_paths: 9, cost: 4
21: tempo: 0.0018417835235595703, nodi: 31, explored_paths: 3, cost: 2
22: tempo: 0.07861042022705078, nodi: 313, explored_paths: 39, cost: 5
23: tempo: 0.0005521774291992188, nodi: 16, explored_paths: 2, cost: 2
24: tempo: 0.2795107364654541, nodi: 586, explored_paths: 66, cost: 6
25: tempo: 0.03173637390136719, nodi: 169, explored_paths: 18, cost: 4
26: tempo: 0.2559642791748047, nodi: 580, explored_paths: 69, cost: 6
27: tempo: 0.5904173851013184, nodi: 976, explored_paths: 122, cost: 6
28: tempo: 0.10171723365783691, nodi: 328, explored_paths: 38, cost: 5
29: tempo: 0.07249712944030762, nodi: 262, explored_paths: 28, cost: 5
30: tempo: 0.0253298282623291, nodi: 148, explored_paths: 16, cost: 4
31: tempo: 0.020460844039916992, nodi: 136, explored_paths: 17, cost: 4
32: tempo: 0.011635065078735352, nodi: 91, explored_paths: 11, cost: 4
33: tempo: 0.0379176139831543, nodi: 184, explored_paths: 22, cost: 4
34: tempo: 0.007361650466918945, nodi: 73, explored_paths: 8, cost: 4
35: tempo: 0.001827239990234375, nodi: 37, explored_paths: 5, cost: 3
36: tempo: 0.1049947738647461, nodi: 322, explored_paths: 36, cost: 5
37: tempo: 0.13936257362365723, nodi: 376, explored_paths: 43, cost: 5
38: tempo: 0.005989551544189453, nodi: 70, explored_paths: 8, cost: 4
39: tempo: 0.020539045333862305, nodi: 127, explored_paths: 14, cost: 4
40: tempo: 0.004032611846923828, nodi: 49, explored_paths: 5, cost: 3
41: tempo: 0.0028264522552490234, nodi: 43, explored_paths: 5, cost: 3
42: tempo: 0.006108283996582031, nodi: 67, explored_paths: 7, cost: 3
43: tempo: 0.05517983436584473, nodi: 226, explored_paths: 24, cost: 5
44: tempo: 0.0011217594146728516, nodi: 25, explored_paths: 3, cost: 3
45: tempo: 0.01885080337524414, nodi: 124, explored_paths: 13, cost: 4
46: tempo: 0.029688358306884766, nodi: 157, explored_paths: 17, cost: 4
47: tempo: 0.006895542144775391, nodi: 70, explored_paths: 7, cost: 4
48: tempo: 0.07716035842895508, nodi: 274, explored_paths: 30, cost: 5
49: tempo: 0.025669574737548828, nodi: 157, explored_paths: 18, cost: 5
50: tempo: 0.00416254997253418, nodi: 49, explored_paths: 6, cost: 4
51: tempo: 0.001050710678100586, nodi: 22, explored_paths: 2, cost: 2
52: tempo: 0.06715679168701172, nodi: 244, explored_paths: 26, cost: 5
53: tempo: 0.08701682090759277, nodi: 277, explored_paths: 29, cost: 6
54: tempo: 0.05051565170288086, nodi: 223, explored_paths: 24, cost: 5
55: tempo: 0.0004889965057373047, nodi: 13, explored_paths: 2, cost: 2
56: tempo: 0.09485411643981934, nodi: 259, explored_paths: 30, cost: 5
57: tempo: 0.02573084831237793, nodi: 148, explored_paths: 17, cost: 4
58: tempo: 0.004263162612915039, nodi: 49, explored_paths: 5, cost: 3
59: tempo: 0.002576112747192383, nodi: 40, explored_paths: 5, cost: 3
60: tempo: 0.00852513313293457, nodi: 82, explored_paths: 9, cost: 5
61: tempo: 0.014948606491088867, nodi: 112, explored_paths: 12, cost: 4
62: tempo: 0.05155348777770996, nodi: 205, explored_paths: 21, cost: 5
63: tempo: 0.003991603851318359, nodi: 49, explored_paths: 5, cost: 3
64: tempo: 0.06469154357910156, nodi: 265, explored_paths: 31, cost: 6
65: tempo: 0.12152600288391113, nodi: 367, explored_paths: 45, cost: 6
66: tempo: 0.23933839797973633, nodi: 514, explored_paths: 58, cost: 5
67: tempo: 0.02447342872619629, nodi: 154, explored_paths: 18, cost: 5
68: tempo: 0.017148494720458984, nodi: 118, explored_paths: 13, cost: 5
69: tempo: 0.009379148483276367, nodi: 85, explored_paths: 9, cost: 4
70: tempo: 0.04472780227661133, nodi: 199, explored_paths: 22, cost: 5
71: tempo: 0.0066375732421875, nodi: 73, explored_paths: 8, cost: 4
72: tempo: 0.0018725395202636719, nodi: 31, explored_paths: 3, cost: 2
73: tempo: 0.02670764923095703, nodi: 151, explored_paths: 17, cost: 5
74: tempo: 0.00030231475830078125, nodi: 10, explored_paths: 1, cost: 1
75: tempo: 0.027215003967285156, nodi: 154, explored_paths: 17, cost: 5
76: tempo: 0.16461396217346191, nodi: 439, explored_paths: 52, cost: 6
77: tempo: 0.03206300735473633, nodi: 166, explored_paths: 17, cost: 5
78: tempo: 0.024609804153442383, nodi: 148, explored_paths: 16, cost: 4
79: tempo: 0.1217336654663086, nodi: 352, explored_paths: 41, cost: 5
80: tempo: 0.019974470138549805, nodi: 124, explored_paths: 14, cost: 4
81: tempo: 0.020954370498657227, nodi: 133, explored_paths: 14, cost: 4
82: tempo: 0.05204582214355469, nodi: 256, explored_paths: 33, cost: 5
