0: tempo: 0.0003757476806640625, nodi: 9, explored_paths: 2, cost: 2
1: tempo: 0.0002810955047607422, nodi: 5, explored_paths: 1, cost: 1
2: tempo: 0.0009596347808837891, nodi: 21, explored_paths: 4, cost: 3
3: tempo: 4.220008850097656e-05, nodi: 1, explored_paths: 0, cost: 0
4: tempo: 0.000179290771484375, nodi: 7, explored_paths: 1, cost: 1
5: tempo: 0.00011157989501953125, nodi: 5, explored_paths: 1, cost: 1
6: tempo: 0.003965139389038086, nodi: 69, explored_paths: 15, cost: 5
7: tempo: 0.0005285739898681641, nodi: 15, explored_paths: 3, cost: 2
8: tempo: 0.0006189346313476562, nodi: 19, explored_paths: 4, cost: 3
9: tempo: 0.005351543426513672, nodi: 83, explored_paths: 20, cost: 5
10: tempo: 4.7206878662109375e-05, nodi: 1, explored_paths: 0, cost: 0
11: tempo: 0.0026865005493164062, nodi: 45, explored_paths: 10, cost: 4
12: tempo: 0.0008387565612792969, nodi: 23, explored_paths: 5, cost: 3
13: tempo: 0.004922628402709961, nodi: 83, explored_paths: 20, cost: 5
14: tempo: 0.004494667053222656, nodi: 77, explored_paths: 18, cost: 5
15: tempo: 0.0019116401672363281, nodi: 35, explored_paths: 8, cost: 4
16: tempo: 0.0005202293395996094, nodi: 15, explored_paths: 3, cost: 2
17: tempo: 0.0009911060333251953, nodi: 27, explored_paths: 6, cost: 3
18: tempo: 0.004575014114379883, nodi: 65, explored_paths: 15, cost: 5
19: tempo: 0.0032949447631835938, nodi: 65, explored_paths: 16, cost: 4
20: tempo: 0.00025081634521484375, nodi: 9, explored_paths: 2, cost: 2
21: tempo: 0.004823207855224609, nodi: 83, explored_paths: 20, cost: 5
22: tempo: 0.001119375228881836, nodi: 31, explored_paths: 7, cost: 4
23: tempo: 0.0007045269012451172, nodi: 19, explored_paths: 4, cost: 3
24: tempo: 0.0007450580596923828, nodi: 21, explored_paths: 4, cost: 3
25: tempo: 0.0042994022369384766, nodi: 61, explored_paths: 14, cost: 5
26: tempo: 0.0009558200836181641, nodi: 19, explored_paths: 4, cost: 3
27: tempo: 0.0014185905456542969, nodi: 35, explored_paths: 8, cost: 4
28: tempo: 0.0002772808074951172, nodi: 9, explored_paths: 2, cost: 2
29: tempo: 0.0016803741455078125, nodi: 33, explored_paths: 7, cost: 4
30: tempo: 0.0004448890686035156, nodi: 11, explored_paths: 2, cost: 2
31: tempo: 0.0003018379211425781, nodi: 7, explored_paths: 1, cost: 1
32: tempo: 0.0030732154846191406, nodi: 53, explored_paths: 12, cost: 5
33: tempo: 0.005238771438598633, nodi: 69, explored_paths: 15, cost: 5
34: tempo: 0.0006349086761474609, nodi: 19, explored_paths: 4, cost: 3
35: tempo: 0.00016927719116210938, nodi: 7, explored_paths: 1, cost: 1
36: tempo: 0.0009467601776123047, nodi: 27, explored_paths: 6, cost: 3
37: tempo: 0.004751920700073242, nodi: 85, explored_paths: 21, cost: 5
38: tempo: 0.0015931129455566406, nodi: 33, explored_paths: 7, cost: 3
39: tempo: 0.0001621246337890625, nodi: 5, explored_paths: 1, cost: 1
40: tempo: 0.0005257129669189453, nodi: 15, explored_paths: 3, cost: 2
41: tempo: 0.005528450012207031, nodi: 69, explored_paths: 16, cost: 5
42: tempo: 0.0051004886627197266, nodi: 89, explored_paths: 21, cost: 5
43: tempo: 0.0003867149353027344, nodi: 11, explored_paths: 2, cost: 2
44: tempo: 0.0015604496002197266, nodi: 35, explored_paths: 8, cost: 4
45: tempo: 0.0013017654418945312, nodi: 33, explored_paths: 7, cost: 4
46: tempo: 0.00026035308837890625, nodi: 11, explored_paths: 2, cost: 2
47: tempo: 0.0006957054138183594, nodi: 21, explored_paths: 5, cost: 3
48: tempo: 0.002938985824584961, nodi: 49, explored_paths: 11, cost: 4
49: tempo: 0.0005457401275634766, nodi: 15, explored_paths: 3, cost: 2
50: tempo: 0.0004773139953613281, nodi: 15, explored_paths: 3, cost: 3
51: tempo: 0.00319671630859375, nodi: 45, explored_paths: 10, cost: 4
52: tempo: 0.0005931854248046875, nodi: 19, explored_paths: 4, cost: 3
53: tempo: 0.00048232078552246094, nodi: 15, explored_paths: 3, cost: 2
54: tempo: 0.0009458065032958984, nodi: 27, explored_paths: 6, cost: 3
55: tempo: 0.00016689300537109375, nodi: 7, explored_paths: 1, cost: 1
56: tempo: 0.0002930164337158203, nodi: 11, explored_paths: 2, cost: 2
57: tempo: 0.004814863204956055, nodi: 77, explored_paths: 18, cost: 5
58: tempo: 0.00016117095947265625, nodi: 5, explored_paths: 1, cost: 1
59: tempo: 0.006094694137573242, nodi: 75, explored_paths: 18, cost: 4
60: tempo: 0.0004303455352783203, nodi: 15, explored_paths: 3, cost: 3
61: tempo: 0.00015687942504882812, nodi: 7, explored_paths: 1, cost: 1
62: tempo: 0.0014383792877197266, nodi: 39, explored_paths: 9, cost: 5
63: tempo: 0.0008502006530761719, nodi: 27, explored_paths: 6, cost: 3
64: tempo: 0.000888824462890625, nodi: 27, explored_paths: 6, cost: 3
65: tempo: 0.0036101341247558594, nodi: 61, explored_paths: 14, cost: 5
66: tempo: 0.00023889541625976562, nodi: 9, explored_paths: 2, cost: 2
67: tempo: 0.00022220611572265625, nodi: 9, explored_paths: 2, cost: 2
68: tempo: 0.002821207046508789, nodi: 45, explored_paths: 10, cost: 4
69: tempo: 0.003964424133300781, nodi: 49, explored_paths: 11, cost: 4
70: tempo: 0.00015687942504882812, nodi: 5, explored_paths: 1, cost: 1
71: tempo: 0.0004982948303222656, nodi: 11, explored_paths: 2, cost: 2
72: tempo: 0.000308990478515625, nodi: 7, explored_paths: 1, cost: 1
73: tempo: 0.005451679229736328, nodi: 85, explored_paths: 21, cost: 5
74: tempo: 0.002206087112426758, nodi: 49, explored_paths: 11, cost: 4
75: tempo: 0.008531332015991211, nodi: 77, explored_paths: 17, cost: 5
76: tempo: 0.0003719329833984375, nodi: 11, explored_paths: 2, cost: 2
77: tempo: 0.0010051727294921875, nodi: 31, explored_paths: 7, cost: 4
78: tempo: 0.0002124309539794922, nodi: 9, explored_paths: 2, cost: 2
79: tempo: 0.002187013626098633, nodi: 47, explored_paths: 10, cost: 4
80: tempo: 0.0010786056518554688, nodi: 23, explored_paths: 5, cost: 3
81: tempo: 0.00043964385986328125, nodi: 17, explored_paths: 4, cost: 3
82: tempo: 0.00667119026184082, nodi: 81, explored_paths: 19, cost: 5
83: tempo: 0.0037131309509277344, nodi: 51, explored_paths: 12, cost: 4
84: tempo: 0.00029277801513671875, nodi: 11, explored_paths: 2, cost: 2
85: tempo: 0.000209808349609375, nodi: 9, explored_paths: 2, cost: 2
86: tempo: 8.559226989746094e-05, nodi: 5, explored_paths: 1, cost: 1
87: tempo: 0.0009474754333496094, nodi: 27, explored_paths: 6, cost: 3
88: tempo: 0.005455493927001953, nodi: 79, explored_paths: 19, cost: 5
89: tempo: 0.010756492614746094, nodi: 133, explored_paths: 34, cost: 6
90: tempo: 0.00048661231994628906, nodi: 11, explored_paths: 2, cost: 2
91: tempo: 0.000110626220703125, nodi: 5, explored_paths: 1, cost: 1
92: tempo: 0.0008885860443115234, nodi: 23, explored_paths: 5, cost: 3
93: tempo: 0.005898475646972656, nodi: 83, explored_paths: 21, cost: 4
94: tempo: 0.0001742839813232422, nodi: 5, explored_paths: 1, cost: 1
95: tempo: 0.0008058547973632812, nodi: 19, explored_paths: 4, cost: 3
96: tempo: 0.0003304481506347656, nodi: 11, explored_paths: 2, cost: 2
97: tempo: 0.0016918182373046875, nodi: 35, explored_paths: 8, cost: 4
98: tempo: 0.0010056495666503906, nodi: 27, explored_paths: 6, cost: 3
99: tempo: 0.004900932312011719, nodi: 83, explored_paths: 21, cost: 4
100: tempo: 0.0007359981536865234, nodi: 19, explored_paths: 4, cost: 3
101: tempo: 0.00621795654296875, nodi: 91, explored_paths: 23, cost: 5
102: tempo: 0.0009868144989013672, nodi: 27, explored_paths: 6, cost: 3
103: tempo: 0.0009133815765380859, nodi: 19, explored_paths: 4, cost: 3
104: tempo: 0.0025141239166259766, nodi: 49, explored_paths: 11, cost: 4
