0: tempo: 0.005453586578369141, nodi: 61, explored_paths: 8, cost: 6
1: tempo: 0.0006091594696044922, nodi: 16, explored_paths: 2, cost: 2
2: tempo: 0.0035104751586914062, nodi: 52, explored_paths: 7, cost: 4
3: tempo: 0.005066871643066406, nodi: 58, explored_paths: 7, cost: 4
4: tempo: 0.010840415954589844, nodi: 97, explored_paths: 12, cost: 6
5: tempo: 0.006757020950317383, nodi: 67, explored_paths: 9, cost: 7
6: tempo: 0.005300045013427734, nodi: 61, explored_paths: 8, cost: 5
7: tempo: 0.002253293991088867, nodi: 37, explored_paths: 5, cost: 5
8: tempo: 0.0003027915954589844, nodi: 10, explored_paths: 1, cost: 1
9: tempo: 0.020550012588500977, nodi: 136, explored_paths: 17, cost: 4
10: tempo: 0.0009899139404296875, nodi: 22, explored_paths: 3, cost: 3
11: tempo: 0.047632455825805664, nodi: 211, explored_paths: 28, cost: 7
12: tempo: 0.011159420013427734, nodi: 88, explored_paths: 13, cost: 7
13: tempo: 0.002889394760131836, nodi: 40, explored_paths: 4, cost: 3
14: tempo: 0.003686189651489258, nodi: 49, explored_paths: 6, cost: 4
15: tempo: 0.11433625221252441, nodi: 379, explored_paths: 51, cost: 7
16: tempo: 0.0060808658599853516, nodi: 67, explored_paths: 7, cost: 4
17: tempo: 0.009334087371826172, nodi: 79, explored_paths: 10, cost: 6
18: tempo: 0.007452726364135742, nodi: 73, explored_paths: 10, cost: 7
19: tempo: 0.01073455810546875, nodi: 91, explored_paths: 11, cost: 6
20: tempo: 0.043683528900146484, nodi: 211, explored_paths: 28, cost: 6
21: tempo: 0.011653423309326172, nodi: 106, explored_paths: 15, cost: 6
22: tempo: 0.007234334945678711, nodi: 64, explored_paths: 7, cost: 5
23: tempo: 0.002617359161376953, nodi: 40, explored_paths: 4, cost: 4
24: tempo: 0.0028417110443115234, nodi: 40, explored_paths: 4, cost: 4
25: tempo: 0.0015025138854980469, nodi: 25, explored_paths: 3, cost: 3
26: tempo: 0.0036325454711914062, nodi: 40, explored_paths: 4, cost: 4
27: tempo: 0.007142066955566406, nodi: 73, explored_paths: 8, cost: 4
28: tempo: 0.0016019344329833984, nodi: 31, explored_paths: 4, cost: 3
29: tempo: 0.0005700588226318359, nodi: 16, explored_paths: 2, cost: 2
30: tempo: 0.011951684951782227, nodi: 103, explored_paths: 14, cost: 7
31: tempo: 0.051683664321899414, nodi: 244, explored_paths: 34, cost: 7
32: tempo: 0.050482988357543945, nodi: 235, explored_paths: 33, cost: 5
33: tempo: 0.04737138748168945, nodi: 217, explored_paths: 30, cost: 6
34: tempo: 0.005112171173095703, nodi: 64, explored_paths: 8, cost: 5
35: tempo: 0.004902362823486328, nodi: 58, explored_paths: 6, cost: 4
36: tempo: 0.0019588470458984375, nodi: 31, explored_paths: 3, cost: 2
37: tempo: 0.001999378204345703, nodi: 34, explored_paths: 4, cost: 3
38: tempo: 0.003608226776123047, nodi: 49, explored_paths: 5, cost: 4
39: tempo: 0.005086660385131836, nodi: 58, explored_paths: 6, cost: 4
40: tempo: 0.008870124816894531, nodi: 79, explored_paths: 9, cost: 4
41: tempo: 0.0011110305786132812, nodi: 22, explored_paths: 2, cost: 2
42: tempo: 0.009946107864379883, nodi: 88, explored_paths: 11, cost: 5
43: tempo: 0.021906375885009766, nodi: 130, explored_paths: 17, cost: 7
44: tempo: 0.0037598609924316406, nodi: 46, explored_paths: 5, cost: 5
45: tempo: 0.048531293869018555, nodi: 238, explored_paths: 34, cost: 7
46: tempo: 0.039057254791259766, nodi: 205, explored_paths: 25, cost: 5
47: tempo: 0.00632166862487793, nodi: 70, explored_paths: 8, cost: 5
48: tempo: 0.005494356155395508, nodi: 61, explored_paths: 8, cost: 4
49: tempo: 0.03469204902648926, nodi: 184, explored_paths: 23, cost: 8
50: tempo: 0.009997844696044922, nodi: 91, explored_paths: 13, cost: 7
51: tempo: 0.006760120391845703, nodi: 76, explored_paths: 11, cost: 7
52: tempo: 0.01145315170288086, nodi: 97, explored_paths: 13, cost: 6
53: tempo: 0.0032160282135009766, nodi: 46, explored_paths: 6, cost: 4
54: tempo: 0.001302957534790039, nodi: 22, explored_paths: 2, cost: 2
55: tempo: 0.00538325309753418, nodi: 55, explored_paths: 6, cost: 5
56: tempo: 0.015595436096191406, nodi: 115, explored_paths: 17, cost: 6
57: tempo: 0.0021240711212158203, nodi: 37, explored_paths: 5, cost: 4
58: tempo: 0.008492231369018555, nodi: 85, explored_paths: 12, cost: 6
59: tempo: 0.007421255111694336, nodi: 70, explored_paths: 9, cost: 6
60: tempo: 0.0021724700927734375, nodi: 34, explored_paths: 4, cost: 3
61: tempo: 0.018735408782958984, nodi: 124, explored_paths: 14, cost: 5
62: tempo: 0.010705947875976562, nodi: 91, explored_paths: 12, cost: 5
63: tempo: 0.010372400283813477, nodi: 91, explored_paths: 12, cost: 6
64: tempo: 0.0022068023681640625, nodi: 31, explored_paths: 3, cost: 3
65: tempo: 0.027569055557250977, nodi: 169, explored_paths: 24, cost: 8
66: tempo: 0.002936840057373047, nodi: 43, explored_paths: 5, cost: 4
67: tempo: 0.0038683414459228516, nodi: 46, explored_paths: 5, cost: 3
68: tempo: 0.002924680709838867, nodi: 40, explored_paths: 4, cost: 3
69: tempo: 0.010750532150268555, nodi: 85, explored_paths: 9, cost: 4
70: tempo: 0.029730796813964844, nodi: 160, explored_paths: 21, cost: 8
71: tempo: 0.04548168182373047, nodi: 220, explored_paths: 31, cost: 7
72: tempo: 0.006585121154785156, nodi: 73, explored_paths: 10, cost: 5
73: tempo: 0.021612882614135742, nodi: 136, explored_paths: 16, cost: 7
74: tempo: 0.002665996551513672, nodi: 40, explored_paths: 4, cost: 4
75: tempo: 0.004944801330566406, nodi: 58, explored_paths: 8, cost: 5
76: tempo: 0.07021307945251465, nodi: 280, explored_paths: 39, cost: 7
77: tempo: 0.0017189979553222656, nodi: 28, explored_paths: 3, cost: 3
78: tempo: 0.008404016494750977, nodi: 79, explored_paths: 9, cost: 6
79: tempo: 0.002977132797241211, nodi: 40, explored_paths: 5, cost: 4
80: tempo: 0.009290695190429688, nodi: 76, explored_paths: 9, cost: 5
81: tempo: 0.023743629455566406, nodi: 145, explored_paths: 20, cost: 7
82: tempo: 0.04384899139404297, nodi: 232, explored_paths: 32, cost: 7
83: tempo: 0.011766195297241211, nodi: 100, explored_paths: 12, cost: 4
84: tempo: 0.004008769989013672, nodi: 52, explored_paths: 6, cost: 5
85: tempo: 0.003586292266845703, nodi: 46, explored_paths: 6, cost: 4
86: tempo: 0.01440286636352539, nodi: 109, explored_paths: 14, cost: 6
87: tempo: 0.003898143768310547, nodi: 52, explored_paths: 7, cost: 5
88: tempo: 0.011036396026611328, nodi: 88, explored_paths: 9, cost: 5
89: tempo: 0.0048220157623291016, nodi: 58, explored_paths: 8, cost: 5
90: tempo: 0.012880325317382812, nodi: 103, explored_paths: 14, cost: 7
91: tempo: 0.03673219680786133, nodi: 181, explored_paths: 21, cost: 6
92: tempo: 0.004352092742919922, nodi: 55, explored_paths: 8, cost: 5
93: tempo: 0.07324361801147461, nodi: 289, explored_paths: 40, cost: 7
94: tempo: 0.006846904754638672, nodi: 70, explored_paths: 9, cost: 5
95: tempo: 0.01779484748840332, nodi: 82, explored_paths: 10, cost: 6
96: tempo: 0.020911216735839844, nodi: 88, explored_paths: 12, cost: 7
97: tempo: 0.010093212127685547, nodi: 58, explored_paths: 7, cost: 5
98: tempo: 0.0009288787841796875, nodi: 16, explored_paths: 2, cost: 2
99: tempo: 0.0011589527130126953, nodi: 22, explored_paths: 3, cost: 3
100: tempo: 0.09558463096618652, nodi: 307, explored_paths: 44, cost: 8
101: tempo: 0.0032029151916503906, nodi: 43, explored_paths: 5, cost: 5
102: tempo: 0.00478363037109375, nodi: 61, explored_paths: 8, cost: 6
103: tempo: 0.021079540252685547, nodi: 148, explored_paths: 21, cost: 6
104: tempo: 0.007639884948730469, nodi: 73, explored_paths: 9, cost: 5
105: tempo: 0.006219625473022461, nodi: 76, explored_paths: 11, cost: 5
106: tempo: 0.011424541473388672, nodi: 91, explored_paths: 10, cost: 5
107: tempo: 0.05413222312927246, nodi: 238, explored_paths: 33, cost: 6
108: tempo: 0.0014536380767822266, nodi: 28, explored_paths: 3, cost: 3
109: tempo: 0.0015654563903808594, nodi: 28, explored_paths: 3, cost: 3
110: tempo: 0.00913548469543457, nodi: 76, explored_paths: 8, cost: 5
111: tempo: 0.0010900497436523438, nodi: 22, explored_paths: 3, cost: 3
112: tempo: 0.008269071578979492, nodi: 82, explored_paths: 11, cost: 5
113: tempo: 0.0055942535400390625, nodi: 61, explored_paths: 8, cost: 5
114: tempo: 0.0021009445190429688, nodi: 31, explored_paths: 3, cost: 3
115: tempo: 0.0030815601348876953, nodi: 46, explored_paths: 6, cost: 4
116: tempo: 0.01871967315673828, nodi: 121, explored_paths: 16, cost: 5
117: tempo: 0.06948661804199219, nodi: 289, explored_paths: 41, cost: 7
118: tempo: 0.001157999038696289, nodi: 22, explored_paths: 2, cost: 2
119: tempo: 0.005997657775878906, nodi: 67, explored_paths: 10, cost: 6
120: tempo: 0.020462751388549805, nodi: 136, explored_paths: 16, cost: 7
121: tempo: 0.019502878189086914, nodi: 130, explored_paths: 17, cost: 6
122: tempo: 0.001951456069946289, nodi: 34, explored_paths: 4, cost: 4
123: tempo: 0.011478662490844727, nodi: 91, explored_paths: 11, cost: 6
124: tempo: 0.005791187286376953, nodi: 70, explored_paths: 10, cost: 6
125: tempo: 0.009454727172851562, nodi: 79, explored_paths: 9, cost: 6
126: tempo: 0.0008623600006103516, nodi: 16, explored_paths: 2, cost: 2
127: tempo: 0.00431060791015625, nodi: 49, explored_paths: 5, cost: 4
128: tempo: 0.016452550888061523, nodi: 106, explored_paths: 13, cost: 6
129: tempo: 0.0044291019439697266, nodi: 58, explored_paths: 9, cost: 5
130: tempo: 0.031501054763793945, nodi: 157, explored_paths: 21, cost: 6
131: tempo: 0.06252288818359375, nodi: 256, explored_paths: 34, cost: 7
132: tempo: 0.01361393928527832, nodi: 106, explored_paths: 13, cost: 6
133: tempo: 0.0031769275665283203, nodi: 52, explored_paths: 8, cost: 5
134: tempo: 0.003968477249145508, nodi: 46, explored_paths: 6, cost: 4
135: tempo: 0.015165567398071289, nodi: 115, explored_paths: 16, cost: 6
136: tempo: 0.006670951843261719, nodi: 67, explored_paths: 9, cost: 4
137: tempo: 0.002840757369995117, nodi: 40, explored_paths: 4, cost: 4
138: tempo: 0.0009872913360595703, nodi: 22, explored_paths: 2, cost: 2
139: tempo: 0.0012443065643310547, nodi: 22, explored_paths: 2, cost: 2
140: tempo: 0.001924276351928711, nodi: 34, explored_paths: 4, cost: 4
141: tempo: 0.008193254470825195, nodi: 73, explored_paths: 9, cost: 6
142: tempo: 0.006005048751831055, nodi: 70, explored_paths: 9, cost: 6
143: tempo: 0.0030679702758789062, nodi: 40, explored_paths: 4, cost: 4
144: tempo: 0.07203459739685059, nodi: 286, explored_paths: 38, cost: 5
145: tempo: 0.018145084381103516, nodi: 127, explored_paths: 18, cost: 7
146: tempo: 0.013249397277832031, nodi: 100, explored_paths: 12, cost: 5
147: tempo: 0.00839543342590332, nodi: 82, explored_paths: 11, cost: 7
148: tempo: 0.00969243049621582, nodi: 79, explored_paths: 10, cost: 6
149: tempo: 0.0039215087890625, nodi: 49, explored_paths: 6, cost: 5
150: tempo: 0.004267692565917969, nodi: 55, explored_paths: 7, cost: 5
151: tempo: 0.0025076866149902344, nodi: 37, explored_paths: 4, cost: 4
152: tempo: 0.007498979568481445, nodi: 73, explored_paths: 9, cost: 4
153: tempo: 0.028491735458374023, nodi: 163, explored_paths: 24, cost: 7
154: tempo: 0.00868535041809082, nodi: 82, explored_paths: 10, cost: 5
155: tempo: 0.017663002014160156, nodi: 121, explored_paths: 15, cost: 5
156: tempo: 0.022145509719848633, nodi: 139, explored_paths: 19, cost: 6
157: tempo: 0.003395557403564453, nodi: 43, explored_paths: 6, cost: 4
158: tempo: 0.011316299438476562, nodi: 100, explored_paths: 13, cost: 6
159: tempo: 0.012903451919555664, nodi: 109, explored_paths: 15, cost: 6
160: tempo: 0.004945039749145508, nodi: 55, explored_paths: 6, cost: 5
161: tempo: 0.006917715072631836, nodi: 70, explored_paths: 8, cost: 4
162: tempo: 0.04085969924926758, nodi: 196, explored_paths: 29, cost: 7
163: tempo: 0.05958843231201172, nodi: 256, explored_paths: 36, cost: 8
164: tempo: 0.03257918357849121, nodi: 157, explored_paths: 17, cost: 4
165: tempo: 0.019980192184448242, nodi: 142, explored_paths: 20, cost: 4
166: tempo: 0.10404276847839355, nodi: 352, explored_paths: 48, cost: 8
167: tempo: 0.008105993270874023, nodi: 76, explored_paths: 8, cost: 5
168: tempo: 0.0014553070068359375, nodi: 28, explored_paths: 3, cost: 2
169: tempo: 0.013260364532470703, nodi: 100, explored_paths: 12, cost: 5
