manhattan 0: tempo: 0.0015734999906271696, nodi: 28, explored_paths: 3, cost: 3
subgoal 0: tempo: 0.0014250999956857413, nodi: 28, explored_paths: 3, cost: 3
relaxed 0: tempo: 0.0013936000177636743, nodi: 28, explored_paths: 3, cost: 3
manhattan 1: tempo: 0.020688700024038553, nodi: 127, explored_paths: 16, cost: 6
subgoal 1: tempo: 0.12354559998493642, nodi: 400, explored_paths: 50, cost: 7
relaxed 1: tempo: 0.09199889999581501, nodi: 337, explored_paths: 41, cost: 5
manhattan 2: tempo: 0.009642599994549528, nodi: 85, explored_paths: 10, cost: 6
subgoal 2: tempo: 0.027435299998614937, nodi: 160, explored_paths: 21, cost: 7
relaxed 2: tempo: 0.33215009997365996, nodi: 673, explored_paths: 93, cost: 6
manhattan 3: tempo: 0.02097779998439364, nodi: 124, explored_paths: 15, cost: 5
subgoal 3: tempo: 0.04056449999916367, nodi: 196, explored_paths: 23, cost: 6
relaxed 3: tempo: 0.05802649998804554, nodi: 223, explored_paths: 26, cost: 5
manhattan 4: tempo: 0.009024800005136058, nodi: 58, explored_paths: 7, cost: 4
subgoal 4: tempo: 0.05196860001888126, nodi: 232, explored_paths: 30, cost: 8
relaxed 4: tempo: 0.007129099976737052, nodi: 70, explored_paths: 7, cost: 4
manhattan 5: tempo: 0.0017939999816007912, nodi: 34, explored_paths: 4, cost: 3
subgoal 5: tempo: 0.0016709000046830624, nodi: 28, explored_paths: 3, cost: 3
relaxed 5: tempo: 0.0011648999934550375, nodi: 28, explored_paths: 3, cost: 3
manhattan 6: tempo: 0.008732000016607344, nodi: 82, explored_paths: 9, cost: 4
subgoal 6: tempo: 0.03131849999772385, nodi: 193, explored_paths: 23, cost: 4
relaxed 6: tempo: 0.03872340000816621, nodi: 199, explored_paths: 23, cost: 4
manhattan 7: tempo: 0.0031153000018093735, nodi: 46, explored_paths: 5, cost: 3
subgoal 7: tempo: 0.0022815999982412905, nodi: 40, explored_paths: 4, cost: 3
relaxed 7: tempo: 0.003922999982023612, nodi: 49, explored_paths: 5, cost: 3
manhattan 8: tempo: 0.005456400016555563, nodi: 67, explored_paths: 7, cost: 4
subgoal 8: tempo: 0.015872100018896163, nodi: 121, explored_paths: 15, cost: 5
relaxed 8: tempo: 0.01725929998792708, nodi: 109, explored_paths: 12, cost: 4
manhattan 9: tempo: 0.007261899998411536, nodi: 76, explored_paths: 9, cost: 4
subgoal 9: tempo: 0.003315199981443584, nodi: 49, explored_paths: 5, cost: 4
relaxed 9: tempo: 0.005634700006339699, nodi: 64, explored_paths: 7, cost: 4
manhattan 10: tempo: 0.01646820001769811, nodi: 100, explored_paths: 12, cost: 5
subgoal 10: tempo: 0.04056940000737086, nodi: 202, explored_paths: 26, cost: 6
relaxed 10: tempo: 0.05303369998000562, nodi: 214, explored_paths: 25, cost: 5
manhattan 11: tempo: 0.07001409999793395, nodi: 283, explored_paths: 35, cost: 7
subgoal 11: tempo: 0.08651110000209883, nodi: 316, explored_paths: 42, cost: 7
relaxed 11: tempo: 0.14773940001032315, nodi: 412, explored_paths: 55, cost: 6
manhattan 12: tempo: 0.011803199973655865, nodi: 94, explored_paths: 11, cost: 5
subgoal 12: tempo: 0.01707859997986816, nodi: 118, explored_paths: 12, cost: 7
