relaxed 24: tempo: 0.9269125999999233, nodi: 886, explored_paths: 42, cost: 7
manhattan 25: tempo: 0.34879809999256395, nodi: 506, explored_paths: 26, cost: 6
subgoal 25: tempo: 2.3797248999762814, nodi: 1491, explored_paths: 76, cost: 8
relaxed 25: tempo: 0.5343830999918282, nodi: 676, explored_paths: 34, cost: 6
manhattan 26: tempo: 0.7205022000125609, nodi: 766, explored_paths: 39, cost: 9
subgoal 26: tempo: 3.7214995000103954, nodi: 2066, explored_paths: 123, cost: 10
relaxed 26: tempo: 2.9558369999867864, nodi: 1591, explored_paths: 90, cost: 8
manhattan 27: tempo: 0.036538499989546835, nodi: 166, explored_paths: 8, cost: 6
subgoal 27: tempo: 0.020418900006916374, nodi: 121, explored_paths: 6, cost: 6
relaxed 27: tempo: 0.11011709997546859, nodi: 306, explored_paths: 15, cost: 6
manhattan 28: tempo: 0.043401300004916266, nodi: 166, explored_paths: 7, cost: 5
subgoal 28: tempo: 0.022059300012188032, nodi: 126, explored_paths: 5, cost: 5
relaxed 28: tempo: 0.030867299996316433, nodi: 151, explored_paths: 6, cost: 5
manhattan 29: tempo: 0.4694256999937352, nodi: 611, explored_paths: 30, cost: 9
subgoal 29: tempo: 0.22360729999491014, nodi: 426, explored_paths: 17, cost: 10
relaxed 29: tempo: 11.054409000003943, nodi: 3131, explored_paths: 136, cost: 8
manhattan 30: tempo: 6.2287873000022955, nodi: 2536, explored_paths: 142, cost: 11
subgoal 30: tempo: 1.1989749999775086, nodi: 1036, explored_paths: 52, cost: 13
relaxed 30: tempo: 4.6892393000016455, nodi: 1986, explored_paths: 98, cost: 7
manhattan 31: tempo: 0.1046214000089094, nodi: 281, explored_paths: 13, cost: 8
subgoal 31: tempo: 0.19807029998628423, nodi: 436, explored_paths: 24, cost: 9
relaxed 31: tempo: 0.8041834000032395, nodi: 836, explored_paths: 45, cost: 7
manhattan 32: tempo: 0.1687781999935396, nodi: 366, explored_paths: 16, cost: 8
subgoal 32: tempo: 172.95330520000425, nodi: 13616, explored_paths: 783, cost: 9
relaxed 32: tempo: 600.5806756000093, nodi: 26471, explored_paths: 1531, cost: 0
manhattan 33: tempo: 0.28333049998036586, nodi: 511, explored_paths: 26, cost: 8
subgoal 33: tempo: 12.160567799990531, nodi: 3496, explored_paths: 176, cost: 11
relaxed 33: tempo: 6.888644999999087, nodi: 2486, explored_paths: 121, cost: 6
manhattan 34: tempo: 0.024318399984622374, nodi: 126, explored_paths: 5, cost: 5
subgoal 34: tempo: 0.02168919998803176, nodi: 126, explored_paths: 5, cost: 5
relaxed 34: tempo: 0.04137950000585988, nodi: 176, explored_paths: 7, cost: 5
manhattan 35: tempo: 0.06854529998963699, nodi: 226, explored_paths: 9, cost: 7
subgoal 35: tempo: 0.9830588000186253, nodi: 951, explored_paths: 43, cost: 7
relaxed 35: tempo: 13.767282799992245, nodi: 3461, explored_paths: 157, cost: 7
