0: tempo: 0.00029587745666503906, nodi: 5, explored_paths: 3, cost: 0
1: tempo: 4.267692565917969e-05, nodi: 1, explored_paths: 0, cost: 0
2: tempo: 0.000133514404296875, nodi: 5, explored_paths: 3, cost: 0
3: tempo: 0.00013208389282226562, nodi: 3, explored_paths: 1, cost: 1
4: tempo: 0.00014400482177734375, nodi: 5, explored_paths: 3, cost: 0
5: tempo: 0.00010585784912109375, nodi: 3, explored_paths: 1, cost: 1
6: tempo: 0.00017881393432617188, nodi: 5, explored_paths: 3, cost: 0
7: tempo: 0.00016546249389648438, nodi: 5, explored_paths: 3, cost: 0
8: tempo: 0.0019447803497314453, nodi: 5, explored_paths: 3, cost: 0
9: tempo: 0.0001533031463623047, nodi: 5, explored_paths: 3, cost: 0
10: tempo: 0.00012636184692382812, nodi: 2, explored_paths: 1, cost: 1
11: tempo: 0.0001823902130126953, nodi: 5, explored_paths: 3, cost: 0
12: tempo: 7.82012939453125e-05, nodi: 1, explored_paths: 0, cost: 0
13: tempo: 3.838539123535156e-05, nodi: 1, explored_paths: 0, cost: 0
14: tempo: 0.0001652240753173828, nodi: 4, explored_paths: 2, cost: 2
15: tempo: 0.00015401840209960938, nodi: 5, explored_paths: 3, cost: 0
16: tempo: 0.00024700164794921875, nodi: 2, explored_paths: 1, cost: 1
17: tempo: 0.00012159347534179688, nodi: 5, explored_paths: 3, cost: 0
18: tempo: 4.696846008300781e-05, nodi: 2, explored_paths: 1, cost: 1
19: tempo: 8.726119995117188e-05, nodi: 4, explored_paths: 2, cost: 2
20: tempo: 0.00010538101196289062, nodi: 5, explored_paths: 3, cost: 0
21: tempo: 0.00010156631469726562, nodi: 5, explored_paths: 3, cost: 0
22: tempo: 7.867813110351562e-05, nodi: 3, explored_paths: 1, cost: 1
23: tempo: 0.00010323524475097656, nodi: 5, explored_paths: 3, cost: 0
24: tempo: 0.00012111663818359375, nodi: 5, explored_paths: 3, cost: 0
25: tempo: 0.00015592575073242188, nodi: 5, explored_paths: 3, cost: 0
26: tempo: 0.0001125335693359375, nodi: 5, explored_paths: 3, cost: 0
27: tempo: 4.482269287109375e-05, nodi: 2, explored_paths: 1, cost: 1
28: tempo: 8.487701416015625e-05, nodi: 5, explored_paths: 3, cost: 0
29: tempo: 5.698204040527344e-05, nodi: 2, explored_paths: 1, cost: 1
30: tempo: 6.866455078125e-05, nodi: 3, explored_paths: 1, cost: 1
31: tempo: 9.202957153320312e-05, nodi: 5, explored_paths: 3, cost: 0
32: tempo: 0.00010323524475097656, nodi: 5, explored_paths: 3, cost: 0
33: tempo: 4.4345855712890625e-05, nodi: 2, explored_paths: 1, cost: 1
34: tempo: 9.036064147949219e-05, nodi: 5, explored_paths: 3, cost: 0
35: tempo: 8.678436279296875e-05, nodi: 2, explored_paths: 1, cost: 1
36: tempo: 0.00016641616821289062, nodi: 5, explored_paths: 3, cost: 0
37: tempo: 0.0001475811004638672, nodi: 5, explored_paths: 3, cost: 0
38: tempo: 0.00015211105346679688, nodi: 5, explored_paths: 3, cost: 0
39: tempo: 0.00016641616821289062, nodi: 5, explored_paths: 3, cost: 0
40: tempo: 3.266334533691406e-05, nodi: 1, explored_paths: 0, cost: 0
41: tempo: 9.1552734375e-05, nodi: 3, explored_paths: 1, cost: 1
42: tempo: 0.0001087188720703125, nodi: 3, explored_paths: 1, cost: 1
43: tempo: 0.00018024444580078125, nodi: 5, explored_paths: 3, cost: 0
