82: tempo: 0.002975940704345703, nodi: 59, explored_paths: 14, cost: 5
83: tempo: 0.0013554096221923828, nodi: 23, explored_paths: 5, cost: 3
84: tempo: 0.00020456314086914062, nodi: 7, explored_paths: 1, cost: 1
85: tempo: 0.0007126331329345703, nodi: 19, explored_paths: 4, cost: 3
86: tempo: 0.0005125999450683594, nodi: 13, explored_paths: 3, cost: 3
87: tempo: 0.001476287841796875, nodi: 35, explored_paths: 9, cost: 5
88: tempo: 0.0051937103271484375, nodi: 77, explored_paths: 17, cost: 5
89: tempo: 0.0007495880126953125, nodi: 19, explored_paths: 4, cost: 3
90: tempo: 0.00011682510375976562, nodi: 5, explored_paths: 1, cost: 1
91: tempo: 0.00023818016052246094, nodi: 9, explored_paths: 2, cost: 2
92: tempo: 0.0004596710205078125, nodi: 15, explored_paths: 3, cost: 2
93: tempo: 0.0020890235900878906, nodi: 49, explored_paths: 13, cost: 5
94: tempo: 0.0001239776611328125, nodi: 5, explored_paths: 1, cost: 1
95: tempo: 0.0001380443572998047, nodi: 5, explored_paths: 1, cost: 1
96: tempo: 0.0033440589904785156, nodi: 53, explored_paths: 13, cost: 6
97: tempo: 0.0009183883666992188, nodi: 17, explored_paths: 4, cost: 3
98: tempo: 0.0002238750457763672, nodi: 7, explored_paths: 1, cost: 1
99: tempo: 0.0029954910278320312, nodi: 61, explored_paths: 15, cost: 5
100: tempo: 0.00016832351684570312, nodi: 7, explored_paths: 1, cost: 1
101: tempo: 0.0018620491027832031, nodi: 43, explored_paths: 11, cost: 6
102: tempo: 0.0001773834228515625, nodi: 7, explored_paths: 2, cost: 2
103: tempo: 0.0005741119384765625, nodi: 21, explored_paths: 5, cost: 3
104: tempo: 0.00017309188842773438, nodi: 5, explored_paths: 1, cost: 1
105: tempo: 0.0033376216888427734, nodi: 69, explored_paths: 17, cost: 7
106: tempo: 0.0001926422119140625, nodi: 7, explored_paths: 1, cost: 1
107: tempo: 0.0010950565338134766, nodi: 29, explored_paths: 7, cost: 5
108: tempo: 0.003201007843017578, nodi: 57, explored_paths: 14, cost: 5
109: tempo: 0.0012292861938476562, nodi: 23, explored_paths: 5, cost: 4
110: tempo: 0.0001876354217529297, nodi: 5, explored_paths: 1, cost: 1
111: tempo: 0.0018928050994873047, nodi: 49, explored_paths: 13, cost: 4
112: tempo: 0.002573251724243164, nodi: 59, explored_paths: 16, cost: 5
113: tempo: 0.001210927963256836, nodi: 35, explored_paths: 9, cost: 5
114: tempo: 0.002061128616333008, nodi: 51, explored_paths: 13, cost: 4
115: tempo: 0.0012862682342529297, nodi: 23, explored_paths: 5, cost: 3
116: tempo: 0.002619028091430664, nodi: 45, explored_paths: 11, cost: 4
117: tempo: 0.00036907196044921875, nodi: 13, explored_paths: 3, cost: 3
118: tempo: 0.0001380443572998047, nodi: 5, explored_paths: 1, cost: 1
